"Display reviews block in a tab","Display reviews block in a tab"
"Edit Item '%s'","Edit Item %s"
"Edit Reminder","Edit Reminder"
"Email","Email"
"Email Customer Notification","Email Customer Notification"
"Email Field","Email Field"
"Email Admin Notification","Email Admin Notification"
"Email Template","Email Template"
"Enabled","Enabled"
"Enable/disable Email field on Review Form to Guest.","Enable/disable Email field on Review Form to Guest."
"Enable/Disable Fields","Enable/Disable Fields"
"Enable/Disable Review Info Fields","Enable/Disable Review Info Fields"
"Enable/Disable Review Form Fields","Enable/Disable Review Form Fields"
"Enable/disable a honeypot field that provides additional protection from bots (it is not visible for human visitors).","Enable/disable a honeypot field that provides additional protection from bots (it is not visible for human visitors)."
"Enable jQuery and Other Plugins","Enable jQuery and Other Plugins"
"Enable Honeypot","Enable Honeypot"
"Enable Timezone Setting","Enable Timezone Setting"
"Enable Filters","Enable Filters"
"Encoding "%s" field is wrong.","Encoding "%s" field is wrong."
"End date","End date"
"Enter your Cons, separated by comma","Enter your Cons, separated by comma"
"Enter your Pros, separated by comma","Enter your Pros, separated by comma"
"Expiration Date","Expiration Date"
"Expiration Time","Expiration Time"
"File size must be %d MB or less","File size must be %d MB or less"
"Filters for reviews","Filters for reviews"
"For how long Author’s IP should be banned.","For how long Author’s IP should be banned."
"General","General"
"General Info","General Info"
"General Information","General Information"
"Good and Bad Details","Good and Bad Details"
"Good:","Good:"
"Good Review","Good Review"
"Guest can't vote","Guest can't vote"
"Height","Height"
"Helpful","Helpful"
"Helpful Votes","Helpful Votes"
"Highest Contributors","Highest Contributors"
"Highest Rated","Highest Rated"
"Highly Rated","Highly Rated"
"Height must be number","Height must be number"
"Hold","Hold"
"Hold this Review Reminder?","Hold this Review Reminder?"
"ID","ID"
"If set to 0 or empty, delay period will be set to default (3 days)","If set to 0 or empty, delay period will be set to default (3 days)"
"If you choose 'Yes' for 'Use Parent Category Settings for Review Fields', this attribute will take value from parent","If you choose 'Yes' for 'Use Parent Category Settings for Review Fields', this attribute will take value from parent"
"Image Options","Image Options"
"Image \'%s\' has the following problem: ","Image \'%s\' has the following problem: "
"Images Max Count","Images Max Count"
"Image","Image"
"Image must be at least %d pixels tall","Image must be at least %d pixels tall"
"Image must be at least %d pixels wide","Image must be at least %d pixels wide"
"Image must be in PNG, GIF or JPEG format","Image must be in PNG, GIF or JPEG format"
"Image must be in PNG or JPEG format, image uses 32 x 26 pixels size","Image must be in PNG or JPEG format, image uses 32 x 26 pixels size"
"In seconds","In seconds"
"Inactive","Inactive"
"Inherit config","Inherit config"
"inappropriate language","inappropriate language"
"info about other companies or websites","info about other companies or websites"
"Invalid customer data","Invalid customer data"
"Is Banned from Write Review","Is Banned from Write Review"
"Items Ordered","Items Ordered"
"Item was successfully saved.","Item was successfully saved."
"Item was successfully saved","Item was successfully saved"
"Item #%s status was changed to On Hold","Item #%s status was changed to On Hold"
"Item #%s status was changed to Pending","Item #%s status was changed to Pending"
"Item #%s was deleted","Item #%s was deleted"
"Item #%s status was changed to On Hold.","Item #%s status was changed to On Hold."
"Item #%s was deleted.","Item #%s was deleted."
"It can be 0 or 1","It can be 0 or 1"
"Last 4 Weeks","Last 4 Weeks"
"Last 6 Months","Last 6 Months"
"Last Week","Last Week"
"Last Review","Last Review"
"Leave a product review","Leave a product review"
"less than 1 week","less than 1 week"
"License Key","License Key"
"License","License"
"License Status","License Status"
"Lift Ban","Lift Ban"
"Line Chart","Line Chart"
"little bit loose","little bit loose"
"little bit tight","little bit tight"
"Login","Login"
"Login and password are required.","Login and password are required."
"Location","Location"
"Location has only letters, numbers and whitespace","Location has only letters, numbers and whitespace"
"Lowest Rated","Lowest Rated"
"Magento Chart","Magento Chart"
"Manage %s","Manage %s"
"Manufacturer","Manufacturer"
"Max length ","Max length "
"Max Image Size (MB)","Max Image Size (MB)"
"Min Number of Posted Reviews to assign a ""Highest Contributor"" Status to Reviewer","Min Number of Posted Reviews to assign a ""Highest Contributor"" Status to Reviewer"
"Middle Name:","Middle Name:"
"Min Image Height (px)","Min Image Height (px)"
"Min Image Width (px)","Min Image Width (px)"
"Min Number of Posted Reviews to assign a "Highest Contributor" Status to Reviewer","Min Number of Posted Reviews to assign a "Highest Contributor" Status to Reviewer"
"Min length ","Min length "
"Module Name","Module Name"
"more than"," more than"
"Most Helpful","Most Helpful"
"Most Reviewed","Most Reviewed"
"My Reviews","My Reviews"
"Name","Name"
"New Customer?","New Customer?"
"New Review Email Sender","New Review Email Sender"
"New Review Email Template","New Review Email Template"
"New Review Email Copy To","New Review Email Copy To"
"New Review Copy Method","New Review Copy Method"
"Nickname","Nickname"
"Nickname must be min 4 and max 20 characters","Nickname must be min 4 and max 20 characters"
"No","No"
"No Good Review","No Good Review"
"No Slider","No Slider"
"non-product related comments","non-product related comments"
"Not Approved","Not Approved"
"None","None"
"Not Valid","Not Valid"
"No Data Found","No Data Found"
"No search keywords.","No search keywords."
"Number of Items in Most Reviewed Products Grids","Number of Items in Most Reviewed Products Grids"
"Number of Items in Most Liked Products Grids","Number of Items in Most Liked Products Grids"
"Number of Items in Most Disliked Products Grids","Number of Items in Most Disliked Products Grids"
"Number of Items in Most Active Customers Grids","Number of Items in Most Active Customers Grids"
"Number of Items in Most Helpful Review Grids","Number of Items in Most Helpful Review Grids"
"Number of Reviews","Number of Reviews"
"Number of Reviews in Slideshow","Number of Reviews in Slideshow"
"Number of Visible Reviews in Slideshow","Number of Visible Reviews in Slideshow"
"One of your image dimensions is less 60px","One of your image dimensions is less 60px"
"Only registered users can write reviews. Please, <a href="%s">log in</a> or <a href="%s">register</a>","Only registered users can write reviews. Please, <a href="%s">log in</a> or <a href="%s">register</a>"
"Only verified buyer can write review","Only verified buyer can write review"
"Options for recommendations","Options for recommendations"
"or choose from list:","or choose from list:"
"Order #","Order #"
"Order Info","Order Info"
"Ordering","Ordering"
"Order Status","Order Status"
"Other Thoughts:","Other Thoughts:"
"Overall Rating","Overall Rating"
"Overall Review","Overall Review"
"Overall Review:","Overall Review:"
"Ownership","Ownership"
"Pending","Pending"
"Permanently","Permanently"
"Pictures speak a thousand words!","Pictures speak a thousand words!"
"Please, disable ""product's review tab"" in ""EasyTab"" extension options if you want ""Detailed Review"" extension to work correctly with custom reviews block placeholder.","Please, disable ""product's review tab"" in ""EasyTab"" extension options if you want ""Detailed Review"" extension to work correctly with custom reviews block placeholder."
"Please select item(s)","Please select item(s)"
"Please, Fill Email and Password","Please, Fill Email and Password"
"Please select","Please select"
"Please select one of each of the ratings above","Please select one of each of the ratings above"
"Please, wait...","Please, wait..."
"Please Log In","Please Log In"
"Please create an account","Please create an account"
"Please, fill in Email and Password.","Please, fill in Email and Password."
"Please select item(s).","Please select item(s)."
"Please select %s(s).","Please select %s(s)."
"Please select item(s)","Please select item(s)"
"Please use only letters or numbers, separated by comma.","Please use only letters or numbers, separated by comma."
"Popularity is a attributes group in Product Entity. If allow change these attributes, they don't be update automatically","Popularity is a attributes group in Product Entity. If allow change these attributes, they don't be update automatically"
"Posted By","Posted By"
"Post your youtube video link to show how you style this item","Post your youtube video link to show how you style this item"
"Prevent this Author from Posting Reviews","Prevent this Author from Posting Reviews"
"Prevent this Customer from Posting Reviews","Prevent this Customer from Posting Reviews"
"price and promotion details","price and promotion details"
"Product Name","Product Name"
"Product already reviewed by You","Product already reviewed by You"
"Products for review from your order","Products for review from your order"
"Pros","Pros"
"Pros:","Pros:"
"Pros and Cons","Pros and Cons"
"Pros and Cons Details","Pros and Cons Details"
"Pros have max 255 characters", "Pros have max 255 characters"
"Price","Price"
"Private Key","Private Key"
"Pros Management","Pros Management"
"Public Key","Public Key"
"Quality","Quality"
"Rating:","Rating:"
"Rating Images","Rating Images"
"Recent Reviews by Category","Recent Reviews by Category"
"Recent Reviews","Recent Reviews"
"Recent Reviews in Category","Recent Reviews in Category"
"Recipient Info","Recipient Info"
"Recipient Name","Recipient Name"
"Recipient Email","Recipient Email"
"Recommend: ","Recommend: "
"Recommend this product to a friend","Recommend this product to a friend"
"Redirect to the product page","Redirect to the product page"
"Remove","Remove"
"Reviews List Options","Reviews List Options"
"Reviews per Page","Reviews per Page"
"Reviews per Page by Default","Reviews per Page by Default"
"Reminder","Reminder"
"Reminder #%s was successfully sent.","Reminder #%s was successfully sent."
"Reminder Information","Reminder Information"
"Reminder sending is not allowed. Please, change Detailed Review extension configurations.","Reminder sending is not allowed. Please, change Detailed Review extension configurations."
"Reminder #%s was successfully sent","Reminder #%s was successfully sent"
"Reminder sending is not allowed. Please, change Detailed Review extension configurations","Reminder sending is not allowed. Please, change Detailed Review extension configurations"
"Results per page","Results per page"
"Returning Customers:","Returning Customers:"
"Reviews","Reviews"
"Review Details","Review Details"
"Review Email Blind Copy To","Review Email Blind Copy To"
"Review Email Sender","Review Email Sender"
"Review Email Template","Review Email Template"
"Review (submitted on %s):","Review (submitted on %s):"
"Review Reminders","Review Reminders"
"Reviews Reminder","Reviews Reminder"
"Rewiews Reminder","Rewiews Reminder"
"Reindex","Reindex"
"Reindex Data","Reindex Data"
"Reindex was failed. %s","Reindex was failed. %s"
"Response","Response"
"Result Filters","Result Filters"
"Review Id can't be empty","Review Id can't be empty"
"Review must be min 4 characters","Review must be min 4 characters"
"Review Post with AJAX","Review Post with AJAX"
"Review Title","Review Title"
"Review Title:","Review Title:"
"Reviews Statistics","Reviews Statistics"
"Reviews with Images","Reviews with Images"
"Reviews with Video","Reviews with Video"
"roomy","roomy"
"Rotation Speed","Rotation Speed"
"runs large","runs large"
"runs small","runs small"
"search in reviews","search in reviews"
"select the number of stars that reflect your overall item rating","select the number of stars that reflect your overall item rating"
"ShortLink Service (Bitly)","ShortLink Service (Bitly)"
"Show Review Graph","Show Review Graph"
"Show Product Name and Image on Review Popup","Show Product Name and Image on Review Popup"
"Save and Continue Edit","Save and Continue Edit"
"Select the option that reflects your feeling about the item's sizing","Select the option that reflects your feeling about the item's sizing"
"Settings","Settings"
"Share your opinion with others by writing a detailed review","Share your opinion with others by writing a detailed review"
"Share Review to Facebook","Share Review to Facebook"
"Show Review Graph","Show Review Graph"
"Show","Show"
"Show Product Image","Show Product Image"
"Show Verified Buyer Image","Show Verified Buyer Image"
"Sizing:","Sizing:"
"Sizing","Sizing"
"Send E-mails","Send E-mails"
"Send now","Send now"
"Sent At","Sent At"
"Settings applied to Customers","Settings applied to Customers"
"Slider Effect","Slider Effect"
"snug","snug"
"Statistics Options","Statistics Options"
"Social Share","Social Share"
"Some error has been occurred.","Some error has been occurred."
"Some problems appeared while saving image.","Some problems appeared while saving image."
"Something went wrong. Please try again","Something went wrong. Please try again"
"Sorting Options","Sorting Options"
"Sorry, no reviews matched your criteria.","Sorry, no reviews matched your criteria."
"Sort Order","Sort Order"
"Status","Status"
"Start date","Start date"
"Submit","Submit"
"Swing","Swing"
"Tell our customers about yourself","Tell our customers about yourself"
"Tell us what you think about this item","Tell us what you think about this item"
"Tell us what you think about this item!","Tell us what you think about this item!"
"The data were indexed", "The data were indexed"
"The cons has been saved.","The cons has been saved."
"The %s does not exist.","The %s does not exist."
"There are no orders without reminder.","There are no orders without reminder."
"There are no other products for review","There are no other products for review"
"There is already an account with this email address. If you are sure that it is your email address, <a href="%s">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href="%s">click here</a> to get your password and access your account."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account."
"There was a problem with uninstalling: %s","There was a problem with uninstalling: %s"
"There was a problem with uninstalling.","There was a problem with uninstalling."
"There are no orders without reminder","There are no orders without reminder"
"This area allows you to add your own style to Review. Please note embedding and presence of other styles on the page. Don't use this area to stylize the entire page.","This area allows you to add your own style to Review. Please note embedding and presence of other styles on the page. Don't use this area to stylize the entire page."
"This Contributor has not submitted any reviews.","This Contributor has not submitted any reviews."
"This account is not confirmed. <a href="%s">Click here</a> to resend confirmation email.","This account is not confirmed. <a href="%s">Click here</a> to resend confirmation email."
"This option initializes JS libraries in local scope which will not intersect with external jQuery. Currently included libraries: jQuery 1.11.3 , jQuery.ui 1.11.4, jQuery Color Animations 2.1.2, jQuery.easing 1.3 , jQuery.spy, jQuery Placeholder 2.0.7, noUislider 7.0.10, jQuery Form, jQuery.Magnific Popup 1.0.0. If you do not need to load this libraries in one file (for example this libraries are already loaded on your website), you can disable this option. Also we define jQuery as global object 'DRjQuery' so you will have to assign your jQuery to it. For more information see <a target='_blank' href='https://mage-review.com/manual#ext-conf'>official manual</a>","This option initializes JS libraries in local scope which will not intersect with external jQuery. Currently included libraries: jQuery 1.11.3 , jQuery.ui 1.11.4, jQuery Color Animations 2.1.2, jQuery.easing 1.3 , jQuery.spy, jQuery Placeholder 2.0.7, noUislider 7.0.10, jQuery Form, jQuery.Magnific Popup 1.0.0. If you do not need to load this libraries in one file (for example this libraries are already loaded on your website), you can disable this option. Also we define jQuery as global object 'DRjQuery' so you will have to assign your jQuery to it. For more information see <a target='_blank' href='https://mage-review.com/manual#ext-conf'>official manual</a>"
"This reminder does not exist.","This reminder does not exist."
"This reminder has already been sent.","This reminder has already been sent."
"This reminder is already pending.","This reminder is already pending."
"This reminder no longer exists.","This reminder no longer exists."
"This reminder does not exist","This reminder does not exist"
"This reminder no longer exists","This reminder no longer exists"
"This reminder is already on hold","This reminder is already on hold"
"This reminder is already pending","This reminder is already pending"
"This reminder has already been sent","This reminder has already been sent"
"This will completely uninstall Detailed Review extension and delete all related information. Reviews will get back to original (standard) state. Are you sure?","This will completely uninstall Detailed Review extension and delete all related information. Reviews will get back to original (standard) state. Are you sure?"
"This will completely uninstall Detailed Review plugin and delete all related information. Reviews will get back to original (standard) state. Are you sure?","This will completely uninstall Detailed Review plugin and delete all related information. Reviews will get back to original (standard) state. Are you sure?"
"This will completely uninstall Detailed Review extension and delete all related information. Reviews will get back to original (standard) state. Related modules also will be removed. Are you sure?","This will completely uninstall Detailed Review extension and delete all related information. Reviews will get back to original (standard) state. Related modules also will be removed. Are you sure?"
"Time Format","Time Format"
"Title must be min 4 and max 50 characters","Title must be min 4 and max 50 characters"
"Total of %d record(s) were successfully saved","Total of %d record(s) were successfully saved"
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d reminder(s) were successfully created.","Total of %d reminder(s) were successfully created."
"Total of %d record(s) were successfully deleted.","Total of %d record(s) were successfully deleted."
"Total of %d record(s) were successfully updated."","Total of %d record(s) were successfully updated."
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Total of %d reminder(s) were successfully sent.","Total of %d reminder(s) were successfully sent."
"Total of %d reminder(s) were successfully created","Total of %d reminder(s) were successfully created"
"true to size","true to size"
"Twitt Review","Twitt Review"
"Unable to add your vote.","Unable to add your vote."
"Unable to load review list. Please, contact support is this issue remains.","Unable to load review list. Please, contact support is this issue remains."
"Unable to post the review.","Unable to post the review."
"Unable to add your vote. %s","Unable to add your vote. %s"
"Uninstall Extension","Uninstall Extension"
"Unhold","Unhold"
"Unhold this Review Reminder?","Unhold this Review Reminder?"
"Unhelpful","Unhelpful"
"Unknown extension!","Unknown extension!"
"Update Statistic","Update Statistic"
"Update status","Update status"
"Use Parent Category Settings","Use Parent Category Settings"
"User-defined Pros and Cons","User-defined Pros and Cons"
"User-defined Pros and Cons Management","User-defined Pros and Cons Management"
"Updating data for 'Bestselling', 'Most Reviewed' and 'Highly Rated' types of sorting.","Updating data for 'Bestselling', 'Most Reviewed' and 'Highly Rated' types of sorting."
"Upload Your Image","Upload Your Image"
"Valid","Valid"
"Verified Buyer","Verified Buyer"
"Video Link","Video Link"
"Video","Video"
"Video of Review","Video of Review"
"Video Preview","Video Preview"
"Video Preview on list reviews","Video Preview on list reviews"
"Video Preview Options","Video Preview Options"
"Video Preview Width (px)","Video Preview Width (px)"
"Video Preview Height (px)","Video Preview Height (px)"
"View Reminder #%s Details","View Reminder #%s Details"
"Verified Buyers","Verified Buyers"
"Version of Extension:","Version of Extension:"
"Watch My Video","Watch My Video"
"Watch my video","Watch my video"
"What do you dislike about this item?","What do you dislike about this item?"
"What do you like about this item?","What do you like about this item?"
"What do?","What do?"
"when writing your review, try to avoid","when writing your review, try to avoid"
"Would you recommend this product to a friend?","Would you recommend this product to a friend?"
"Write A Review","Write A Review"
"Write review","Write review"
"Wrong to link video","Wrong to link video"
"Yes","Yes"
"You can not send this reminder now","You can not send this reminder now"
"You have already reviewed this product","You have already reviewed this product"
"You have entered wrong captcha.","You have entered wrong captcha."
"You have exceeded the size limit!","You have exceeded the size limit!"
"You are not Allowed to Write a Review.","You are not Allowed to Write a Review."
"You can not send this reminder now.","You can not send this reminder now."
"You can upload not more than %s images","You can upload not more than %s images"
"Your Rating:","Your Rating:"
"Your Review","Your Review"
"Your Review (submitted on %s):","Your Review (submitted on %s):"
"Your review has been added.","Your review has been added."
"Your vote has been added successfully.","Your vote has been added successfully."
"Your Age","Your Age"
"Your Body Type","Your Body Type"
"Your Email","Your Email"
"Your Height","Your Height"
"Your review has been accepted for moderation.","Your review has been accepted for moderation."
"Your vote has been added successfully.","Your vote has been added successfully."
"Size","Size"
"Result filter:","Result filter:"
"Your Email","Your Email"
"Review Title","Review Title"
"Pros:","Pros:"
"Submit","Submit"
"This is a required field.","This is a required field."
"Please enter a valid Youtube URL.","Please enter a valid Youtube URL."
"Please enter a valid email address. For example johndoe@domain.com","Please enter a valid email address. For example johndoe@domain.com"
"Add Your Review","Add Your Review"
"Guest","Guest"
"Previous","Previous"
"Next","Next"
"No file chosen", "No file chosen"
"Visit https://www.google.com/recaptcha/admin#list to receive public key for your domain", "Visit https://www.google.com/recaptcha/admin#list to receive public key for your domain"
"Visit https://www.google.com/recaptcha/admin#list to receive private key for your domain", "Visit https://www.google.com/recaptcha/admin#list to receive private key for your domain"
"'Images Max Count' should be more than 0. To disable the 'Upload Your Image' Field, use the 'Enable/Disable Fields' tab.", "'Images Max Count' should be more than 0. To disable the 'Upload Your Image' Field, use the 'Enable/Disable Fields' tab."
"Reindex Data", "Reindex Data"
"Uninstall", "Uninstall"
"Be careful. This button will completely uninstall extension and delete all related information. Reviews will get back to original (standard) state.", "Be careful. This button will completely uninstall extension and delete all related information. Reviews will get back to original (standard) state."
"If set to "No", alert emails will be generated, but will not be sent automatically, while manual sending will be allowed", "If set to "No", alert emails will be generated, but will not be sent automatically, while manual sending will be allowed"




